PSP Reference,Merchant Reference,Account,Creation Date,TimeZone,Value,Currency,Payment Method,Status,Fraud Scoring
4815453828073014,invoice-934-1630,BoxifyCom,2018-12-21 10:00:07,CET,180.00,EUR,sepadirectdebit,SentForSettle,50
4635453828059649,invoice-899-1580,BoxifyCom,2018-12-21 10:00:05,CET,85.70,EUR,mc,Refused,0
4815453828051895,invoice-775-1547,BoxifyCom,2018-12-21 10:00:05,CET,83.24,EUR,unknowncard,Refused,0
4735453828042909,invoice-735-1542,BoxifyCom,2018-12-21 10:00:04,CET,123.95,EUR,mc,Refused,0
4315453828033773,invoice-907-1502,BoxifyCom,2018-12-21 10:00:03,CET,60.00,EUR,sepadirectdebit,SentForSettle,50
4815453828025972,invoice-775-1392,BoxifyCom,2018-12-21 10:00:02,CET,113.24,EUR,unknowncard,Refused,0
1715453815090218,invoice-290-1660,BoxifyCom,2018-12-21 09:38:29,CET,41.10,EUR,unknowncard,Refused,0
4735453814111619,invoice-455-1659,BoxifyCom,2018-12-21 09:36:51,CET,6.38,EUR,visa,SettledBulk,10
1645453813606127,invoice-482-1658,BoxifyCom,2018-12-21 09:36:00,CET,116.28,EUR,visa,SettledBulk,0
4315453813003476,invoice-581-1657,BoxifyCom,2018-12-21 09:35:00,CET,20.00,EUR,sepadirectdebit,SentForSettle,0
1535453812410516,invoice-624-1656,BoxifyCom,2018-12-21 09:34:01,CET,129.40,EUR,mc,Refused,0
1825453811673022,invoice-644-1655,BoxifyCom,2018-12-21 09:32:47,CET,48.00,EUR,mc,SettledBulk,0
4715453810431338,invoice-730-1654,BoxifyCom,2018-12-21 09:30:43,CET,186.30,EUR,sepadirectdebit,SentForSettle,50
1345453809836434,invoice-767-1653,BoxifyCom,2018-12-21 09:29:43,CET,38.00,EUR,mc,Refused,0
1645453809177836,invoice-792-1652,BoxifyCom,2018-12-21 09:28:37,CET,35.70,EUR,visa,SettledBulk,0
4845453808041837,invoice-865-1651,BoxifyCom,2018-12-21 09:26:44,CET,38.22,EUR,mc,Refused,10
4715453807454368,invoice-867-1650,BoxifyCom,2018-12-21 09:25:45,CET,103.00,EUR,sepadirectdebit,SentForSettle,0
1615453806653595,invoice-890-1649,BoxifyCom,2018-12-21 09:24:25,CET,183.87,EUR,sepadirectdebit,SentForSettle,50
1615453805880280,invoice-898-1648,BoxifyCom,2018-12-21 09:23:08,CET,6.01,EUR,sepadirectdebit,SentForSettle,60
4315453803914120,invoice-900-1647,BoxifyCom,2018-12-21 09:19:51,CET,94.51,EUR,sepadirectdebit,SentForSettle,0
1515453803023272,invoice-919-1646,BoxifyCom,2018-12-21 09:18:22,CET,42.50,EUR,sepadirectdebit,SentForSettle,0
1545453801698459,invoice-945-1645,BoxifyCom,2018-12-21 09:16:09,CET,13.03,EUR,visa,SettledBulk,0
4815453800093311,invoice-946-1644,BoxifyCom,2018-12-21 09:13:29,CET,9.43,EUR,sepadirectdebit,SentForSettle,0
1345453132602677,invoice-938-1642,BoxifyCom,2018-12-20 14:41:00,CET,60.00,EUR,mc,SettledBulk,0
4715452964049508,invoice-657-1536,BoxifyCom,2018-12-20 10:00:04,CET,206.06,EUR,unknowncard,Refused,0
4745452964033886,invoice-646-1534,BoxifyCom,2018-12-20 10:00:03,CET,284.01,EUR,mc,Refused,10
4515452964035087,invoice-657-1381,BoxifyCom,2018-12-20 10:00:03,CET,206.06,EUR,unknowncard,Refused,0
4615452964039153,invoice-331-1108,BoxifyCom,2018-12-20 10:00:03,CET,266.28,EUR,unknowncard,Refused,0
4335452191858275,invoice-737-1640,BoxifyCom,2018-12-19 12:33:05,CET,60.00,EUR,mc,SettledBulk,0
4515451700654896,invoice-916-1635,BoxifyCom,2018-12-18 22:54:25,CET,188.77,EUR,sepadirectdebit,Settled,0
1335451236182655,invoice-899-1580,BoxifyCom,2018-12-18 10:00:18,CET,65.70,EUR,mc,Refused,0
1715451236093647,invoice-850-1405,BoxifyCom,2018-12-18 10:00:09,CET,306.68,EUR,sepadirectdebit,Settled,50
1745450637346277,invoice-738-1634,BoxifyCom,2018-12-17 17:22:14,CET,60.00,EUR,mc,SettledBulk,30
4335450568502443,invoice-606-1633,BoxifyCom,2018-12-17 15:27:30,CET,60.00,EUR,visa,SettledBulk,30
4345450372097828,invoice-646-1534,BoxifyCom,2018-12-17 10:00:09,CET,234.01,EUR,mc,Refused,10
1715449810028484,invoice-958-1632,BoxifyCom,2018-12-16 18:23:22,CET,128.44,EUR,sepadirectdebit,Settled,0
4615449508247714,invoice-942-1604,BoxifyCom,2018-12-16 10:00:24,CET,40.00,EUR,sepadirectdebit,Chargeback,50
4615449508232971,invoice-880-1567,BoxifyCom,2018-12-16 10:00:23,CET,96.00,EUR,sepadirectdebit,Chargeback,50
4515449508231768,invoice-851-1558,BoxifyCom,2018-12-16 10:00:23,CET,92.50,EUR,sepadirectdebit,Chargeback,50
4715449508230321,invoice-846-1554,BoxifyCom,2018-12-16 10:00:23,CET,116.00,EUR,sepadirectdebit,Chargeback,50
4315449508221415,invoice-840-1553,BoxifyCom,2018-12-16 10:00:22,CET,160.60,EUR,sepadirectdebit,Chargeback,50
4715449508145412,invoice-846-1402,BoxifyCom,2018-12-16 10:00:14,CET,146.00,EUR,sepadirectdebit,Chargeback,50
4815449508110167,invoice-840-1400,BoxifyCom,2018-12-16 10:00:11,CET,195.60,EUR,sepadirectdebit,Chargeback,50
4715449508063490,invoice-846-1244,BoxifyCom,2018-12-16 10:00:06,CET,146.00,EUR,sepadirectdebit,Chargeback,50
4315449508054741,invoice-846-1152,BoxifyCom,2018-12-16 10:00:05,CET,146.00,EUR,sepadirectdebit,Chargeback,50
4615449508050704,invoice-846-1014,BoxifyCom,2018-12-16 10:00:05,CET,79.90,EUR,sepadirectdebit,Chargeback,50
4315449508048594,invoice-841-1010,BoxifyCom,2018-12-16 10:00:04,CET,252.80,EUR,sepadirectdebit,Chargeback,50
4715449508032487,invoice-851-912,BoxifyCom,2018-12-16 10:00:03,CET,122.50,EUR,sepadirectdebit,Chargeback,50
4615449508024782,invoice-840-907,BoxifyCom,2018-12-16 10:00:02,CET,195.60,EUR,sepadirectdebit,Chargeback,50
4315448644073698,invoice-907-1618,BoxifyCom,2018-12-15 10:00:07,CET,121.00,EUR,sepadirectdebit,Chargeback,50
4815448644062969,invoice-882-1569,BoxifyCom,2018-12-15 10:00:06,CET,72.50,EUR,sepadirectdebit,Settled,50
4835447780283849,invoice-735-1542,BoxifyCom,2018-12-14 10:00:28,CET,123.95,EUR,mc,Refused,0
1325447747967032,card-535-1544774369,BoxifyCom,2018-12-14 09:06:36,CET,0.00,EUR,visa,Authorised,25
1545447141743421,invoice-957-1631,BoxifyCom,2018-12-13 16:16:14,CET,137.99,EUR,visa,SettledBulk,20
4815446346384467,invoice-934-1630,BoxifyCom,2018-12-12 18:10:38,CET,180.00,EUR,sepadirectdebit,Chargeback,0
1815445557842391,invoice-956-1629,BoxifyCom,2018-12-11 20:16:24,CET,31.94,EUR,sepadirectdebit,Settled,0
4815445391168866,invoice-930-1628,BoxifyCom,2018-12-11 15:38:36,CET,592.90,EUR,sepadirectdebit,Settled,0
1345445387909849,invoice-939-1627,BoxifyCom,2018-12-11 15:33:10,CET,35.00,EUR,visa,SettledBulk,35
1315445386651661,invoice-902-1626,BoxifyCom,2018-12-11 15:31:05,CET,70.00,EUR,sepadirectdebit,Settled,0
4835445188211958,invoice-735-1542,BoxifyCom,2018-12-11 10:00:21,CET,103.95,EUR,mc,Refused,0
4615445188114463,invoice-907-1502,BoxifyCom,2018-12-11 10:00:11,CET,55.00,EUR,sepadirectdebit,Chargeback,50
1745445184751028,invoice-955-1625,BoxifyCom,2018-12-11 09:54:35,CET,12.50,EUR,mc,SettledBulk,0
1715445162885117,sepa-930-1544515867,BoxifyCom,2018-12-11 09:18:08,CET,0.00,EUR,sepadirectdebit,Authorised,0
1525445154196929,invoice-777-1624,BoxifyCom,2018-12-11 09:03:39,CET,40.00,EUR,visa,SettledBulk,0
1315444324154482,invoice-876-1565,BoxifyCom,2018-12-10 10:00:15,CET,91.70,EUR,sepadirectdebit,Settled,60
1745444324141828,invoice-646-1534,BoxifyCom,2018-12-10 10:00:14,CET,234.01,EUR,mc,Refused,10
1315444324072163,invoice-876-1418,BoxifyCom,2018-12-10 10:00:07,CET,91.70,EUR,sepadirectdebit,Settled,60
1715443460101600,invoice-942-1604,BoxifyCom,2018-12-09 10:00:10,CET,20.00,EUR,sepadirectdebit,Chargeback,50
1615443460099318,invoice-898-1579,BoxifyCom,2018-12-09 10:00:09,CET,81.00,EUR,sepadirectdebit,Settled,60
1515443460083446,invoice-880-1567,BoxifyCom,2018-12-09 10:00:08,CET,81.00,EUR,sepadirectdebit,Chargeback,50
1815443460081314,invoice-851-1558,BoxifyCom,2018-12-09 10:00:08,CET,72.50,EUR,sepadirectdebit,Chargeback,50
1315443460087571,invoice-846-1554,BoxifyCom,2018-12-09 10:00:08,CET,96.00,EUR,sepadirectdebit,Chargeback,50
1515443460077919,invoice-840-1553,BoxifyCom,2018-12-09 10:00:07,CET,145.60,EUR,sepadirectdebit,Chargeback,50
1615443460068024,invoice-881-1496,BoxifyCom,2018-12-09 10:00:06,CET,35.67,EUR,sepadirectdebit,Settled,50
1715443460064816,invoice-850-1405,BoxifyCom,2018-12-09 10:00:06,CET,296.68,EUR,sepadirectdebit,Chargeback,50
1815443460050228,invoice-846-1402,BoxifyCom,2018-12-09 10:00:05,CET,146.00,EUR,sepadirectdebit,Chargeback,50
1715443460054353,invoice-840-1400,BoxifyCom,2018-12-09 10:00:05,CET,195.60,EUR,sepadirectdebit,Chargeback,50
1715443460044057,invoice-846-1244,BoxifyCom,2018-12-09 10:00:04,CET,126.00,EUR,sepadirectdebit,Chargeback,50
1815443460047398,invoice-846-1152,BoxifyCom,2018-12-09 10:00:04,CET,146.00,EUR,sepadirectdebit,Chargeback,50
1315443460035695,invoice-846-1014,BoxifyCom,2018-12-09 10:00:03,CET,59.90,EUR,sepadirectdebit,Chargeback,50
1715443460025924,invoice-841-1010,BoxifyCom,2018-12-09 10:00:02,CET,232.80,EUR,sepadirectdebit,Chargeback,50
1615443460014721,invoice-851-912,BoxifyCom,2018-12-09 10:00:01,CET,122.50,EUR,sepadirectdebit,Chargeback,50
1815443460016401,invoice-840-907,BoxifyCom,2018-12-09 10:00:01,CET,195.60,EUR,sepadirectdebit,Chargeback,50
4515441842492073,invoice-920-1623,BoxifyCom,2018-12-07 13:04:09,CET,20.00,EUR,sepadirectdebit,Settled,0
4515441842478668,invoice-936-1622,BoxifyCom,2018-12-07 13:04:07,CET,20.00,EUR,sepadirectdebit,Settled,0
4645441732167606,invoice-646-1534,BoxifyCom,2018-12-07 10:00:16,CET,214.01,EUR,mc,Refused,10
4815441705571762,invoice-954-1621,BoxifyCom,2018-12-07 09:15:57,CET,121.00,EUR,sepadirectdebit,Settled,0
4315440953549616,invoice-954-1620,BoxifyCom,2018-12-06 12:22:34,CET,25.86,EUR,sepadirectdebit,Settled,0
4545439140280954,invoice-908-1582,BoxifyCom,2018-12-04 10:00:28,CET,78.24,EUR,visa,Refused,0
4735439140271987,invoice-899-1580,BoxifyCom,2018-12-04 10:00:27,CET,50.70,EUR,mc,Refused,0
4835439140233440,invoice-735-1542,BoxifyCom,2018-12-04 10:00:23,CET,88.95,EUR,mc,Refused,0
4345439140186856,invoice-646-1534,BoxifyCom,2018-12-04 10:00:18,CET,199.01,EUR,mc,Refused,10
1825438427425099,invoice-604-1619,BoxifyCom,2018-12-03 14:12:22,CET,20.00,EUR,mc,SettledBulk,20
4615438281786410,invoice-907-1618,BoxifyCom,2018-12-03 10:09:38,CET,121.00,EUR,sepadirectdebit,Chargeback,50
1715438276012272,invoice-907-1502,BoxifyCom,2018-12-03 10:00:01,CET,40.00,EUR,sepadirectdebit,Chargeback,50
1725438249241006,invoice-937-1616,BoxifyCom,2018-12-03 09:15:24,CET,20.00,EUR,visa,SettledBulk,0
1315437709088168,invoice-930-1615,BoxifyCom,2018-12-02 18:15:08,CET,20.00,EUR,sepadirectdebit,Settled,0
