id;user_id;pickup_id;ref;type;new_type;volume_m3;status;name;description;photo;weight;price;bulk_item;picture_option;street;number;box;postalcode;city;longitude;latitude;add_infos;pickup_date;pickup_option;storagdate;ending_date;billing_date;billing_status;billing_ref;box_id;storage_country;storage_warehouse;storage_floor;storage_row;storage_rack;storage_rack_floor;storage_pallet;created_at;updated_at
636;52;92;;bike;bike;;with_me;Vélo;;;;12.5;1;0;Kleine Dachelenbergstraat;10;;1650;Beersel;4.3139901;50.7766915;;12/03/16 10:00;delayed;25/02/16;12/03/16 10:00;10/03/16;pending;6xr3mm;0;;;;;;;;25/02/16 07:41;14/03/16 07:48
670;52;0;;box;boxify_box;0.10;in_storage;Boxify box;<p>Books</p>;27.jpg;;6.25;;;;;;;;;;;08/04/16 10:25;;08/04/16;0000-00-00 00:00:00;08/04/16;unpaid;6xr3mm;1000;;;;;;;;08/04/16 10:25;07/05/18 16:47
671;52;0;;other;picture_frame;0.20;in_storage;Frame;Family frame;Cadre_test.jpg;;5;;;;;;;;;;;08/04/16 10:25;;08/04/16;0000-00-00 00:00:00;;;;1001;;;;;;;;08/04/16 10:25;14/02/17 09:51
672;52;0;;other;coffee_table;0.80;in_storage;Table;Coffee table;tablebasse_test.jpg;;12;;;;;;;;;;;08/04/16 10:25;;08/04/16;0000-00-00 00:00:00;;;;1002;;;;;;;;08/04/16 10:25;14/02/17 09:55
674;52;0;;other;ski;0.10;in_storage;Ski;Ski boots, ski suit, ski, helmet, goggles;Ski_test.jpg;;5;;;;;;;;;;;08/04/16 10:46;;08/04/16;0000-00-00 00:00:00;;;;1001;;;;;;;;08/04/16 10:46;14/02/17 10:02
675;52;0;;other;tyre;0.60;in_storage;Tires;5 Tires;pneus_test.jpg;;12;;;;;;;;;;;08/04/16 10:46;;08/04/16;0000-00-00 00:00:00;;;;1002;;;;;;;;08/04/16 10:46;14/02/17 10:05
739;76;173;;box;box;;with_me;Photos, papiers;Photos, papiers;1.jpg;;6.25;;;Avenue du Gui;40;;1180;Uccle;4.3613076;50.778201;;25/02/17 08:00;;22/02/17;25/02/17 08:00;09/04/16;pending;3drsrm;1;;;;;;;;08/04/16 16:14;22/02/17 10:56
740;76;0;;box;boxify_box;0.10;in_storage;Armoire petite chambre;Armoire petite chambre;2.jpg;;6.25;;;;;;;;;;;08/04/16 16:14;;08/04/16;0000-00-00 00:00:00;09/04/16;pending;3drsrm;2;BE;;0;B;2;0;1;08/04/16 16:14;01/06/17 10:52
741;76;0;;box;boxify_box;0.10;in_storage;Vêtements;Vêtements;3.jpg;;6.25;;;;;;;;;;;08/04/16 16:14;;10/04/16;0000-00-00 00:00:00;10/04/16;pending;3drsrm;3;BE;;0;B;2;0;1;08/04/16 16:14;01/06/17 10:24
742;76;0;;box;boxify_box;0.10;in_storage;Livres;Livres;4.jpg;;6.25;;;;;;;;;;;08/04/16 16:14;;08/04/16;0000-00-00 00:00:00;10/04/16;pending;3drsrm;4;BE;;0;B;2;0;2;08/04/16 16:14;01/06/17 11:13
743;76;0;;box;boxify_box;0.10;in_storage;Boites pantone, Hanoukkia, statuettes;Boites pantone, Hanoukkia, statuettes;5.jpg;;6.25;;;;;;;;;;;08/04/16 16:14;;08/04/16;0000-00-00 00:00:00;10/04/16;pending;3drsrm;5;BE;;0;B;2;0;1;08/04/16 16:14;01/06/17 10:21
744;76;0;;box;boxify_box;0.10;in_storage;Plateaux;Plateaux;6.jpg;;6.25;;;;;;;;;;;08/04/16 16:14;;08/04/16;0000-00-00 00:00:00;10/04/16;pending;3drsrm;6;BE;;0;B;2;0;2;08/04/16 16:14;01/06/17 11:19
745;76;0;;box;boxify_box;0.10;in_storage;Jeux, CD, chaussures;Jeux, CD, chaussures;7.jpg;;6.25;;;;;;;;;;;08/04/16 16:14;;08/04/16;0000-00-00 00:00:00;10/04/16;pending;3drsrm;7;BE;;0;B;2;0;3;08/04/16 16:14;01/06/17 11:42
746;76;0;;box;boxify_box;0.10;in_storage;Cadres, boites;Cadres, boites;8.jpg;;6.25;;;;;;;;;;;08/04/16 16:14;;08/04/16;0000-00-00 00:00:00;10/04/16;pending;3drsrm;8;BE;;0;B;2;0;2;08/04/16 16:14;01/06/17 11:23
747;76;0;;box;boxify_box;0.10;in_storage;Vêtements;Vêtements;9.jpg;;6.25;;;;;;;;;;;08/04/16 16:14;;08/04/16;0000-00-00 00:00:00;10/04/16;pending;3drsrm;9;BE;;0;B;2;0;1;08/04/16 16:14;01/06/17 10:39
748;76;173;;box;box;;with_me;Ordi HP, lecteur cd;Ordi HP, lecteur cd;10.jpg;;6.25;;;Avenue du Gui;40;;1180;Uccle;4.3613076;50.778201;;25/02/17 08:00;;22/02/17;25/02/17 08:00;10/04/16;pending;3drsrm;10;;;;;;;;08/04/16 16:14;22/02/17 10:57
749;76;0;;box;boxify_box;0.10;in_storage;Sacs, panier;Sacs, panier;11.jpg;;6.25;;;;;;;;;;;08/04/16 16:14;;08/04/16;0000-00-00 00:00:00;10/04/16;pending;3drsrm;11;BE;;0;B;2;0;1;08/04/16 16:14;01/06/17 10:35
750;76;0;;box;boxify_box;0.10;in_storage;Echantillon;Echantillon;12.jpg;;6.25;;;;;;;;;;;08/04/16 16:14;;08/04/16;0000-00-00 00:00:00;10/04/16;pending;3drsrm;12;BE;;0;B;2;0;2;08/04/16 16:14;01/06/17 11:19
751;76;0;;box;boxify_box;0.10;in_storage;Vaisselle;Vaisselle;13.jpg;;6.25;;;;;;;;;;;08/04/16 16:14;;08/04/16;0000-00-00 00:00:00;10/04/16;pending;3drsrm;13;BE;;0;B;2;0;2;08/04/16 16:14;01/06/17 11:27
752;76;0;;box;boxify_box;0.10;in_storage;Vêtements, biblots;Vêtements, biblots;14.jpg;;6.25;;;;;;;;;;;08/04/16 16:14;;08/04/16;0000-00-00 00:00:00;10/04/16;pending;3drsrm;14;BE;;0;B;2;0;1;08/04/16 16:14;01/06/17 10:48
753;76;173;;box;box;;with_me;Party clap Manos, chapeaux;Party clap Manos, chapeaux;15.jpg;;6.25;;;Avenue du Gui;40;;1180;Uccle;4.3613076;50.778201;;25/02/17 08:00;;22/02/17;25/02/17 08:00;10/04/16;pending;3drsrm;15;;;;;;;;08/04/16 16:14;22/02/17 10:57
754;76;0;;box;boxify_box;0.10;in_storage;Rideaux;Rideaux;16.jpg;;6.25;;;;;;;;;;;08/04/16 16:14;;08/04/16;0000-00-00 00:00:00;10/04/16;pending;3drsrm;16;BE;;0;B;2;0;3;08/04/16 16:14;01/06/17 11:44
755;76;0;;box;boxify_box;0.10;in_storage;Chaussures, boites, essuies, cassettes vidéos, sac;Chaussures, boites, essuies, cassettes vidéos, sac;17.jpg;;6.25;;;;;;;;;;;08/04/16 16:14;;08/04/16;0000-00-00 00:00:00;10/04/16;pending;3drsrm;17;BE;;0;B;2;0;1;08/04/16 16:14;01/06/17 10:40
756;76;0;;box;boxify_box;0.10;in_storage;Sac a dos, sacs, vêtements;Sac a dos, sacs, vêtements;18.jpg;;6.25;;;;;;;;;;;08/04/16 16:14;;08/04/16;0000-00-00 00:00:00;10/04/16;pending;3drsrm;18;BE;;0;B;2;0;1;08/04/16 16:14;01/06/17 10:23
757;76;0;;box;boxify_box;0.10;in_storage;Vêtements Mam;Vêtements Mam;19.jpg;;6.25;;;;;;;;;;;08/04/16 16:14;;08/04/16;0000-00-00 00:00:00;10/04/16;pending;3drsrm;19;BE;;0;B;2;0;2;08/04/16 16:14;01/06/17 11:28
758;76;173;;box;box;;with_me;Enveloppes;Enveloppes;20.jpg;;6.25;;;Avenue du Gui;40;;1180;Uccle;4.3613076;50.778201;;25/02/17 08:00;;22/02/17;25/02/17 08:00;10/04/16;pending;3drsrm;20;;;;;;;;08/04/16 16:14;22/02/17 10:57
